iter	Passed	Remaining
0	43	43601
1	79	39551
2	110	36691
3	143	35684
4	176	35208
5	207	34437
6	239	33950
7	267	33220
8	299	32980
9	330	32704
10	360	32447
11	397	32714
12	431	32789
13	461	32497
14	488	32070
15	520	31983
16	551	31899
17	582	31753
18	614	31730
19	648	31767
20	680	31715
21	711	31648
22	743	31574
23	775	31518
24	811	31656
25	840	31500
26	875	31553
27	905	31433
28	936	31365
29	970	31370
30	1004	31404
31	1034	31302
32	1065	31212
33	1098	31219
34	1132	31215
35	1164	31177
36	1196	31130
37	1226	31048
38	1255	30946
39	1286	30869
40	1318	30834
41	1351	30817
42	1380	30730
43	1411	30659
44	1440	30565
45	1472	30529
46	1506	30541
47	1537	30494
48	1569	30452
49	1603	30466
50	1633	30391
51	1663	30327
52	1694	30280
53	1727	30265
54	1762	30278
55	1793	30238
56	1825	30200
57	1855	30137
58	1886	30093
59	1915	30016
60	1945	29950
61	1977	29915
62	2012	29930
63	2044	29896
64	2075	29850
65	2104	29782
66	2136	29754
67	2168	29720
68	2202	29714
69	2234	29693
70	2267	29663
71	2295	29585
72	2327	29558
73	2358	29509
74	2390	29486
75	2422	29449
76	2453	29413
77	2489	29421
78	2524	29434
79	2554	29382
80	2584	29322
81	2614	29267
82	2648	29259
83	2679	29217
84	2709	29169
85	2742	29141
86	2774	29111
87	2805	29074
88	2837	29045
89	2870	29026
90	2900	28973
91	2929	28910
92	2957	28844
93	2988	28808
94	3016	28736
95	3048	28706
96	3078	28662
97	3112	28643
98	3142	28597
99	3174	28571
100	3206	28543
101	3237	28501
102	3266	28450
103	3297	28408
104	3329	28379
105	3362	28360
106	3392	28316
107	3422	28265
108	3453	28233
109	3484	28196
110	3515	28156
111	3548	28131
112	3580	28101
113	3611	28067
114	3641	28027
115	3674	28005
116	3705	27965
117	3733	27905
118	3766	27881
119	3796	27843
120	3826	27796
121	3858	27765
122	3885	27706
123	3917	27673
124	3948	27637
125	3981	27617
126	4012	27581
127	4043	27547
128	4076	27525
129	4106	27483
130	4137	27446
131	4168	27407
132	4196	27358
133	4227	27318
134	4256	27273
135	4288	27241
136	4317	27199
137	4350	27177
138	4386	27169
139	4418	27140
140	4449	27104
141	4477	27055
142	4510	27029
143	4541	26994
144	4574	26975
145	4605	26936
146	4636	26903
147	4667	26870
148	4696	26825
149	4724	26769
150	4756	26741
151	4786	26705
152	4816	26661
153	4843	26607
154	4876	26586
155	4921	26624
156	4960	26633
157	4997	26633
158	5029	26600
159	5065	26595
160	5100	26577
161	5130	26540
162	5162	26507
163	5195	26484
164	5225	26443
165	5254	26399
166	5284	26356
167	5321	26351
168	5353	26323
169	5388	26308
170	5421	26282
171	5455	26263
172	5493	26260
173	5533	26267
174	5566	26243
175	5596	26199
176	5625	26155
177	5654	26111
178	5685	26078
179	5717	26045
180	5749	26017
181	5781	25985
182	5812	25948
183	5844	25920
184	5875	25884
185	5904	25841
186	5941	25830
187	5979	25825
188	6014	25807
189	6054	25809
190	6094	25814
191	6129	25794
192	6173	25815
193	6226	25867
194	6279	25924
195	6325	25947
196	6381	26011
197	6416	25988
198	6464	26018
199	6507	26028
200	6538	25990
201	6574	25970
202	6615	25971
203	6650	25949
204	6684	25922
205	6722	25909
206	6755	25880
207	6790	25854
208	6822	25819
209	6855	25788
210	6887	25753
211	6922	25729
212	6952	25690
213	6981	25643
214	7011	25600
215	7041	25558
216	7073	25524
217	7107	25494
218	7141	25468
219	7172	25430
220	7204	25393
221	7235	25355
222	7266	25318
223	7296	25275
224	7328	25241
225	7360	25208
226	7390	25165
227	7420	25124
228	7450	25082
229	7480	25043
230	7511	25006
231	7545	24978
232	7578	24947
233	7610	24911
234	7640	24872
235	7670	24831
236	7699	24789
237	7730	24750
238	7762	24715
239	7795	24685
240	7827	24652
241	7860	24621
242	7889	24577
243	7920	24540
244	7953	24509
245	7982	24465
246	8014	24431
247	8045	24394
248	8076	24359
249	8108	24324
250	8139	24289
251	8170	24251
252	8200	24213
253	8233	24183
254	8262	24139
255	8293	24104
256	8325	24068
257	8361	24047
258	8393	24014
259	8423	23974
260	8456	23944
261	8490	23915
262	8523	23886
263	8557	23857
264	8593	23833
265	8626	23803
266	8659	23771
267	8693	23744
268	8724	23707
269	8760	23684
270	8790	23647
271	8821	23609
272	8851	23571
273	8883	23537
274	8915	23505
275	8947	23471
276	8975	23426
277	9004	23386
278	9035	23351
279	9066	23312
280	9095	23273
281	9123	23229
282	9158	23203
283	9190	23169
284	9223	23139
285	9259	23115
286	9296	23094
287	9332	23071
288	9372	23057
289	9409	23037
290	9443	23008
291	9475	22974
292	9505	22935
293	9535	22898
294	9568	22866
295	9600	22833
296	9629	22793
297	9659	22755
298	9689	22717
299	9719	22679
300	9748	22637
301	9777	22598
302	9810	22566
303	9841	22531
304	9871	22493
305	9902	22458
306	9938	22434
307	9968	22397
308	9999	22362
309	10031	22327
310	10061	22290
311	10092	22255
312	10122	22218
313	10152	22180
314	10180	22139
315	10211	22102
316	10244	22072
317	10274	22034
318	10304	21997
319	10333	21957
320	10365	21925
321	10394	21887
322	10424	21848
323	10451	21806
324	10484	21776
325	10513	21737
326	10542	21697
327	10571	21657
328	10599	21616
329	10628	21578
330	10659	21543
331	10689	21507
332	10720	21472
333	10752	21441
334	10782	21403
335	10812	21367
336	10841	21328
337	10871	21293
338	10904	21261
339	11031	21413
340	11087	21426
341	11115	21385
342	11144	21346
343	11177	21315
344	11206	21276
345	11235	21237
346	11269	21206
347	11299	21169
348	11329	21134
349	11360	21098
350	11391	21062
351	11422	21026
352	11454	20995
353	11486	20960
354	11517	20925
355	11545	20886
356	11578	20853
357	11607	20814
358	11636	20777
359	11665	20738
360	11697	20705
361	11730	20673
362	11760	20637
363	11789	20598
364	11817	20559
365	11846	20520
366	11876	20484
367	11906	20448
368	11939	20416
369	11971	20383
370	11999	20344
371	12029	20308
372	12059	20271
373	12088	20233
374	12117	20196
375	12145	20156
376	12177	20122
377	12207	20088
378	12238	20053
379	12268	20016
380	12297	19979
381	12325	19939
382	12356	19905
383	12387	19871
384	12419	19838
385	12449	19802
386	12481	19770
387	12509	19731
388	12540	19696
389	12573	19665
390	12606	19634
391	12640	19605
392	12670	19569
393	12702	19537
394	12735	19506
395	12770	19477
396	12800	19442
397	12831	19408
398	12861	19372
399	12892	19338
400	12922	19302
401	12952	19267
402	12981	19231
403	13010	19193
404	13042	19161
405	13072	19126
406	13101	19089
407	13130	19052
408	13163	19021
409	13193	18985
410	13222	18949
411	13255	18917
412	13286	18883
413	13315	18846
414	13346	18813
415	13375	18777
416	13404	18741
417	13435	18707
418	13464	18669
419	13496	18637
420	13525	18601
421	13557	18569
422	13587	18534
423	13617	18498
424	13647	18463
425	13676	18428
426	13706	18393
427	13737	18359
428	13766	18323
429	13797	18289
430	13826	18254
431	13858	18221
432	13887	18185
433	13917	18150
434	13951	18120
435	13980	18085
436	14010	18050
437	14040	18015
438	14066	17975
439	14094	17939
440	14123	17902
441	14152	17866
442	14182	17832
443	14212	17797
444	14241	17762
445	14270	17726
446	14300	17691
447	14331	17658
448	14360	17623
449	14390	17587
450	14429	17564
451	14470	17544
452	14507	17517
453	14538	17484
454	14567	17449
455	14597	17414
456	14627	17379
457	14661	17349
458	14690	17315
459	14719	17278
460	14751	17247
461	14782	17213
462	14810	17177
463	14839	17142
464	14873	17112
465	14903	17078
466	14933	17043
467	14962	17008
468	14991	16973
469	15024	16942
470	15052	16906
471	15082	16872
472	15114	16839
473	15145	16806
474	15172	16769
475	15201	16734
476	15231	16699
477	15261	16666
478	15292	16633
479	15323	16600
480	15354	16567
481	15384	16533
482	15408	16493
483	15438	16458
484	15467	16424
485	15498	16391
486	15525	16354
487	15560	16325
488	15589	16290
489	15618	16255
490	15649	16223
491	15678	16188
492	15707	16153
493	15739	16121
494	15774	16093
495	15808	16063
496	15845	16036
497	15879	16006
498	15909	15972
499	15942	15942
500	15970	15907
501	16006	15878
502	16039	15848
503	16073	15818
504	16111	15792
505	16147	15764
506	16179	15733
507	16214	15703
508	16249	15674
509	16285	15647
510	16329	15626
511	16374	15607
512	16411	15579
513	16448	15552
514	16480	15520
515	16511	15487
516	16542	15454
517	16575	15423
518	16608	15392
519	16642	15362
520	16676	15331
521	16710	15301
522	16745	15272
523	16779	15242
524	16811	15210
525	16840	15175
526	16868	15139
527	16898	15106
528	16932	15076
529	16961	15041
530	16992	15008
531	17022	14974
532	17054	14943
533	17084	14908
534	17113	14874
535	17145	14842
536	17174	14808
537	17205	14775
