iter	Logloss
0	0.5716739892
1	0.4985219872
2	0.4571218223
3	0.4214992115
4	0.4057469371
5	0.3814563813
6	0.3643171739
7	0.3515402506
8	0.3442402965
9	0.3330731275
10	0.3221762205
11	0.3098543242
12	0.3005691353
13	0.2948918877
14	0.2829987556
15	0.2785117363
16	0.2713122884
17	0.2591058454
18	0.2539082312
19	0.2504811871
20	0.2460090079
21	0.2438208512
22	0.2404156572
23	0.2375275483
24	0.2312619368
25	0.2282883442
26	0.2258790942
27	0.2240792628
28	0.2223637301
29	0.2211929112
30	0.2164299119
31	0.2140217757
32	0.2129801421
33	0.2089411687
34	0.2058860531
35	0.2030790386
36	0.2017722284
37	0.1977603832
38	0.1936274754
39	0.1927942462
40	0.1921476515
41	0.1907254506
42	0.1896548425
43	0.1871395637
44	0.1848267723
45	0.1842774882
46	0.1817068499
47	0.180796742
48	0.1797015054
49	0.1783069715
50	0.1771916771
51	0.1751367379
52	0.1712122208
53	0.1689072262
54	0.1677616835
55	0.1658880471
56	0.1652994571
57	0.16449889
58	0.1637877618
59	0.1619233952
60	0.1586216703
61	0.1572972397
62	0.156896435
63	0.1559156797
64	0.1527537391
65	0.1521536516
66	0.1516476651
67	0.1514272097
68	0.1510174237
69	0.1505311813
70	0.1498119499
71	0.1487872464
72	0.1481300267
73	0.1474948552
74	0.1463618408
75	0.144952411
76	0.1447391514
77	0.1442327605
78	0.1431032123
79	0.1430120675
80	0.1425051313
81	0.1419249566
82	0.1417091794
83	0.1406996716
84	0.1398255949
85	0.1386162416
86	0.1380623972
87	0.1376698045
88	0.1375247965
89	0.1369833657
90	0.1363885158
91	0.1363103793
92	0.135857473
93	0.1356129074
94	0.1351352363
95	0.1349004449
96	0.1346875184
97	0.1337642019
98	0.1335052923
99	0.1331414466
100	0.132544188
101	0.1323031077
102	0.1322406019
103	0.1316876592
104	0.1311555797
105	0.1309514156
106	0.130604934
107	0.1305207636
108	0.1302526406
109	0.1301480727
110	0.1299417213
111	0.1298225456
