iter	Passed	Remaining
0	23	23365
1	41	20843
2	64	21401
3	90	22547
4	120	23883
5	146	24249
6	167	23700
7	186	23073
8	211	23265
9	232	23029
10	255	22978
11	276	22782
12	292	22238
13	308	21693
14	324	21330
15	341	20979
16	356	20631
17	374	20419
18	390	20162
19	406	19895
20	423	19746
21	439	19554
22	457	19414
23	473	19258
24	489	19088
25	504	18898
26	521	18792
27	537	18659
28	554	18565
29	570	18461
30	586	18334
31	601	18209
32	619	18139
33	635	18054
34	650	17943
35	669	17932
36	685	17838
37	700	17737
38	716	17645
39	732	17576
40	748	17495
41	765	17451
42	781	17397
43	797	17337
44	814	17284
45	831	17245
46	849	17226
47	872	17308
48	912	17704
49	932	17714
50	954	17758
51	971	17714
52	988	17663
53	1005	17616
54	1022	17568
55	1041	17548
56	1057	17499
57	1074	17443
58	1091	17414
59	1108	17367
60	1124	17304
61	1139	17239
62	1154	17178
63	1170	17118
64	1187	17079
65	1203	17034
66	1218	16971
67	1234	16920
68	1249	16861
69	1265	16810
70	1282	16775
71	1302	16782
72	1318	16739
73	1333	16690
74	1349	16644
75	1365	16597
76	1380	16548
77	1396	16504
78	1413	16478
79	1428	16428
80	1443	16382
81	1459	16335
82	1474	16288
83	1490	16256
84	1508	16235
85	1534	16308
86	1550	16269
87	1566	16231
88	1581	16192
89	1597	16150
90	1615	16133
91	1630	16094
92	1645	16049
93	1660	16002
94	1675	15965
95	1691	15926
96	1707	15897
97	1726	15891
98	1742	15862
99	1758	15823
100	1773	15788
101	1788	15749
102	1805	15726
103	1822	15705
104	1838	15673
105	1854	15641
106	1870	15607
107	1884	15568
108	1900	15536
109	1916	15508
110	1938	15528
111	1960	15542
